0	0	0	0	0	5	6	7	1
1	0	0	1	0	5	6	7	1
2	0	0	2	0	5	6	7	1
3	0	0	3	0	5	6	7	1
4	0	0	4	0	5	6	7	1
5	0	0	5	0	5	6	7	1
6	0	0	6	0	5	6	7	1
7	0	1	0	0	5	6	7	1
8	0	1	1	0	5	6	7	1
9	0	1	2	0	5	6	7	1
10	0	1	3	0	5	6	7	1
11	0	1	4	0	5	6	7	1
12	0	1	5	0	5	6	7	1
13	0	1	6	0	5	6	7	1
14	0	2	0	0	5	6	7	1
15	0	2	1	0	5	6	7	1
16	0	2	2	0	5	6	7	1
17	0	2	3	0	5	6	7	1
18	0	2	4	0	5	6	7	1
19	0	2	5	0	5	6	7	1
20	0	2	6	0	5	6	7	1
21	0	3	0	0	5	6	7	1
22	0	3	1	0	5	6	7	1
23	0	3	2	0	5	6	7	1
24	0	3	3	0	5	6	7	1
25	0	3	4	0	5	6	7	1
26	0	3	5	0	5	6	7	1
27	0	3	6	0	5	6	7	1
28	0	4	0	0	5	6	7	1
29	0	4	1	0	5	6	7	1
30	0	4	2	0	5	6	7	1
31	0	4	3	0	5	6	7	1
32	0	4	4	0	5	6	7	1
33	0	4	5	0	5	6	7	1
34	0	4	6	0	5	6	7	1
35	0	5	0	0	5	6	7	1
36	0	5	1	0	5	6	7	1
37	0	5	2	0	5	6	7	1
38	0	5	3	0	5	6	7	1
39	0	5	4	0	5	6	7	1
40	0	5	5	0	5	6	7	1
41	0	5	6	0	5	6	7	1
42	1	0	0	0	5	6	7	1
43	1	0	1	0	5	6	7	1
44	1	0	2	0	5	6	7	1
45	1	0	3	0	5	6	7	1
46	1	0	4	0	5	6	7	1
47	1	0	5	0	5	6	7	1
48	1	0	6	0	5	6	7	1
49	1	1	0	0	5	6	7	1
50	1	1	1	0	5	6	7	1
51	1	1	2	0	5	6	7	1
52	1	1	3	0	5	6	7	1
53	1	1	4	0	5	6	7	1
54	1	1	5	0	5	6	7	1
55	1	1	6	0	5	6	7	1
56	1	2	0	0	5	6	7	1
57	1	2	1	0	5	6	7	1
